微博正文,是否原创,发布时间,发布工具,点赞数,转发数,评论数
"转发理由,外交部,已组织239名中国公民撤离中非,中国外交部发言人华春莹31日说,外交部高度重视在中非中国公民和机构安全,在驻外使领馆组织下,截至北京时间31日下午2时,中非303名中国公民,不含使馆人员,中239名已撤离,外交部及使领馆将继续为在当地中国公民提供必要协助,原始用户,人民日报,转发内容,中国从中非共和国撤侨,中国驻中非共和国大使孙海潮29日说,截至28日夜,在中非的近300名中国侨民已有200余人有序离开首都班吉,前往周边国家或回国,未来两三天内大使馆将继续安排我侨民撤离,本月10日,中非反政府武装联盟,塞雷卡,发动攻势,此后迅速占领北部,中部地区主要城镇,原图,",False,2012-12-31 18:13,媒体版微博,8,76,38
"转发理由,2012年的最后一天,经济日报开通微博,原始用户,经济日报,转发内容,我们今天和您见面啦,盘点一下今年十大国际经济新闻,中国制定人均收入倍增计划,欧洲稳定机制生效,财政悬崖考验美国,世界经济复苏缓慢,首脑更迭影响多国经济,俄罗斯入世,拉美经济10年首次减速,三大信用评级机构被调查,东亚启动多边自贸谈判,国际能源版图趋变,原图,",False,2012-12-31 17:46,专业版微博,9,144,53
",写给2013年的你,早高峰提前,跨年夜狂欢,2012年的最后一天,眨眼间呼啸而至,日复一日迈出的脚步,就这样机械而匆忙,回望来路,有过恐惧与悲伤,有过理想被冲淡,耐心被消磨,而创造未来,仍需支付热情与坚定,今夜,让我们试着整理,试着刷新,试为梦想成真再发力,试待满血复活终逆袭,原图,",True,2012-12-31 17:13,人民日报微博,17,1029,289
",听政,北京市委书记郭金龙,作为一个拥有2000多万人口的特大城市,我们在城市管理的理念,政策,体制机制,方式方法等方面面临的深层问题亟待深入研究,交通拥堵始终是我们必须高度关注和研究解决的重大问题,城乡基础设施,公共服务设施的承载力与城市的公共需求还不适应,应急管理体系还不够完善,原图,",True,2012-12-31 16:32,人民日报微博,1,129,5
",奢华办赛之风当刹,至2012年9月30日,深圳为举办大运会总投入139,96亿元,总收入12,17亿元,奢华办赛,场馆建设的摊子越铺越大,开闭幕式越搞越奢华,而在办赛之外,各地纷纷搭,办赛,的顺风车,办城市,则是,醉翁之意不在酒,奢华办赛之风,谁来刹,如何刹,",True,2012-12-31 16:00,人民日报微博,8,256,245
",你知道这些元旦习俗吗,英国,争打井水,第一个打到的是有福之人,法国,喝掉所有藏酒避免厄运,印度,额上涂红粉表吉祥如意,意大利,打碎家里盆盆罐罐去烦恼,西班牙,午夜按着钟声吃12颗葡萄,匈牙利,禁食飞禽鱼类,委内瑞拉,穿黄色内衣招财进宝,在你那里,过元旦的风俗都有哪些,欢迎补充,原图,",True,2012-12-31 15:09,人民日报微博,13,600,227
",美,财政悬崖,谈判再遭严重挫折,人民日报记者吴成良华盛顿消息,当地时间12月30日,美国国会两党领袖围绕避免,财政悬崖,的谈判再遭严重挫折,参议院多数党领袖,民主党人里德表示,双方仍有明显差距,但谈判将继续,当天下午召开的参议院会议未就任何议案表决,参议院将在美东31日上午11点复会,原图,",True,2012-12-31 14:20,人民日报微博,7,100,94
",年终都来,晒,福利,临近年终,又到了各行各业网上,晒,福利的时候,最高与最低之间的差距竟然高达几十倍,现实是,高福利往往集中在垄断行业,让原本就不平衡的收入分配体系再次倾斜,成为工资之外拉大收入差距的另一条,鸿沟,都来晒晒,你年终拿到了多少福利,",True,2012-12-31 13:40,人民日报微博,9,205,255
",最孤独工作日,你休假了吗,休2天,上班1天,又放假3天,再上班8天,12月31日,被称为,孤独的工作日,为了让小长假变六天黄金周,不少上班族打起了,请假战,也有不少公司统一给员工放假,今天没上班的筒子请举个手,还在上班的,明天起打算做什么呢,",True,2012-12-31 13:00,人民日报微博,13,583,430
",多问些,恼火事,如果上级想多看成绩,基层的粉饰自然会多一些,如果上级想知道村民,有什么恼火事,想看,没有准备的地方,下级求真务实的风气则会浓一些,有问题并不可怕,可怕的是看不到问题,只有勇于到意见大,怨声多的地方去,才能真正做到问政于民知得失,问计于民知虚实,人民日报,原图,",True,2012-12-31 12:30,人民日报微博,12,272,160
",小传旺身体恢复良好,父亲说,等他伤好了就去上学,还记得小传旺吗,今年6月30日,13岁的山东男孩杜传旺,在学徒的汽修厂被两名工友用充气泵喷伤,近日,杜传旺的父亲杜舍厚表示,杜传旺总体恢复良好,基本生活已无问题,等孩子伤好了,就送他回学校上学,小传旺早日康复,",True,2012-12-31 11:40,人民日报微博,28,315,328
",火车票订票取票新规定,人民日报记者鲍丹消息,2013年1月1日起,电话订票的旅客可凭身份证,到全国任一车站窗口或代售点取票,互联网,电话预订第12天车票的起售时间调整为8,00,18,00,14,00除外,动车车票统一于11,00起售,1月4日起,互联网,电话订票预售期延长至20天,含当日,原图,",True,2012-12-31 11:00,人民日报微博,9,2054,342
",人民论坛,习近平为何重提,延安对,习近平重提,延安对,意在告诫执政党必须自觉地,习惯于接受监督和批评,党的执政地位不是与生俱来的,也不是一劳永逸的,要居安思危,增强忧患意识,自觉接受人民监督,常听真话,诤言,克服脱离群众的危险,始终代表人民群众的利益",True,2012-12-31 10:30,人民日报微博,3,306,12
",浙江温岭虐童幼师,家境贫寒,哭求原谅,浙江温岭虐童幼师颜艳红接受采访,反复称当时就觉着好玩,因为喜欢小孩子,当初才选择幼师,而待遇低等让她很烦恼,面对孩子家长所提几十万赔偿要求,颜称家庭贫困无力赔偿,父亲有肺结核,母亲经受不住两次丧子之痛患有精神残疾,",True,2012-12-31 09:50,人民日报微博,9,647,816
",山西中南铁路通道隧道发生爆炸致8死5伤,涉嫌瞒报,人民日报记者冀业山西省人民政府安委办获悉,12月25日下午15时左右,山西中南部铁路通道南吕梁山隧道发生爆炸,造成8人死亡,5人受伤,项目经理部未向相关部门报告,涉嫌瞒报,事故的其它相关情况还在进一步调查核实中,详细报道见长微博,原图,",True,2012-12-31 09:12,人民日报微博,7,556,244
",2012十大国际新闻出炉,1中共十八大开启新征程,2美国对外战略重点转向亚太,3欧债危机持续发酵,4多国举行总统选举,5叙利亚局势持续恶化,西亚北非动荡不止,6疑似,上帝粒子,被发现,7日本,国有化,中国钓鱼岛,8BBC前主持人性侵丑闻曝光,9朝鲜突然宣布发射卫星,10,世界末日,谣言不攻自破,原图,",True,2012-12-31 08:32,微博 weibo.com,12,1047,281
",168亿票房,你贡献了多少,临近岁尾,贺岁电影扎堆,真是几家欢喜几家愁,上映18天的,泰囧,以9,4亿元的票房超越上半年上映的,画皮2,成为最卖座的国产电影,据预计,今年中国电影市场总票房将达168亿元,眼看这一年就要过去了,哪些电影给你留下了深刻的印象,去电影院看了哪几部呢,原图,",True,2012-12-31 07:40,微博 weibo.com,28,1177,775
",新闻史上的今天,1923年12月31日,人们第一次在英国广播公司,BBC,的节目中听到了威斯敏斯特宫报时钟,俗称,大本钟,的钟声,大钟配有麦克风,与BBC相连,通过电波,其整点报时钟声被传到更远的地方,中国新闻史学会供稿,图片来自网络,原图,",True,2012-12-31 07:00,人民日报微博,9,236,57
",你好,明天,领导人基层调研,微博上现场直播,这让人感受执政新风,也赞叹传播变迁,当感谢微博,它让房叔曝光,表哥倒下,让权力保持敏感和痛感,当善待微博,它不仅是反腐利器,而且是治国理政重要资源,微博绝非洪水猛兽,而是建设性力量,避之如虎只会自闭视听,善待善用才能耳聪目明,安,原图,",True,2012-12-30 23:45,人民日报微博,72,2250,930
",郑州市二七区,对该区房管局原局长女儿拥有11套房事件展开调查,针对近日网上爆料称,郑州市二七区房管局原局长翟某的女儿有11套经适房,一事,郑州市二七区委宣传部30日晚间表示,目前,二七区委区政府已经组织相关部门对此事进行调查,对发现的问题将依法依纪严肃处理,绝不姑息,via新华社,",True,2012-12-30 23:22,人民日报微博,13,339,299
",微议录,给3亿流动人口的子女以国民待遇,京上广异地高考政策全部出台,给3亿流动人口的子女以国民待遇,这是一项最基础的社会公正建设,感谢,梅飞MF,贝贝酷723,唯留葵花向日倾,依楼听风语,陶淘鋾綯裪啕,咪西,飞奔的120,ANU,CAIS,LXY,等网友就异地高考,120车滥用特权等话题发表的微议,原图,",True,2012-12-30 22:29,人民日报微博,6,213,35
",上海,购电动车送车牌,人民日报记者谢卫群消息,买电动车送车牌,上海购车族有了好消息,上海市正式发布鼓励购买和使用新能源汽车暂行办法,明确对购置插电式混合动力乘用车和纯电动乘用车的车主免车牌费,目前,在上海买一辆车,平均要花6万多元拍车牌,上海的朋友们来说说,你会因此选择电动车吗,原图,",True,2012-12-30 21:27,人民日报微博,15,437,284
",中国梦,我的梦,sennlin,家乡的公路路况很差,车祸频出,我的梦想是希望2013年,家里的314县级公路早日重修,让我带不识字的妈妈出门旅游一次,梦想,可以宏大而高远,也可以具体而细微,2013年即将到来,你的梦想是什么,快来告诉我们吧,有梦想,不遥远,我们一同守护,",True,2012-12-30 20:30,人民日报微博,10,241,165
",李克强,逐步解决外来务工人员融入城市问题,27日至30日,中共中央政治局常委,国务院副总理李克强到江西九江,湖北恩施调研,在九江经济技术开发区,李克强与农民工座谈时表示,农民工是城市建设发展的生力军,要逐步解决外来务工人员融入城市的问题,",True,2012-12-30 19:31,人民日报微博,14,326,59
",修改后刑诉法,不得强迫自证其罪,修改后的刑诉法将于明年1月1日实施,其中增加了,不得强迫任何人证实自己有罪,的规定,同时明确,采用刑讯逼供等非法方法收集的犯罪嫌疑人,被告人供述和采用暴力,威胁等非法方法收集的证人证言,被害人陈述,应当予以排除,法治文明,在点滴积累中进步,赞一个,原图,",True,2012-12-30 18:30,人民日报微博,26,502,221
",上海公布异地升学考试方案,人民日报记者姜泓冰消息,上海将于2014年实施与,上海居住证管理办法,相衔接的进城务工人员随迁子女接受义务教育后在沪升学考试的具体方案,届时符合条件的随迁子女可在沪参加相应升学考试,此外,2013年上海将正式推出随迁子女参与,中高职贯通培养模式,的自主招生,原图,",True,2012-12-30 17:26,人民日报微博,4,178,145
",2012年十大流行语公布,正能量,位居榜首,语文期刊,咬文嚼字,30日正式发布了,2012年十大流行语,正能量,位居榜首,成为今年上至中央领导,下至平民百姓最喜爱使用的词语之一,12月13日,中共中央总书记习近平在会见美国前总统卡特时指出,中美双方要不畏艰难,勇于创新,积累正能量,原图,",True,2012-12-30 16:23,人民日报微博,18,1281,73
",微评论,同工同酬,汗水没有贵贱,全国人大常委会通过修改劳动合同法,将劳务派遣用,临时性,辅助性,替代性,加以规范,杜绝了用工单位钻空子的小算盘,更让派遣工和合同工用同样的汗水换来等量的报酬,不再因用工形式而将劳动分出高低贵贱,同工同酬是良药,一分辛苦一分酬,socialphobia,土拨鼠,原图,",True,2012-12-30 15:31,人民日报微博,27,697,396
",微评论,异地高考政策要落到实处,年末,各地陆续颁布异地高考方案,门槛有高有低,实施有早有晚,有的地方考虑到人口资源压力,方案的实际突破并不大,各自为政,的同时,需要国家层面出台配套政策,消除人为障碍,莫让外来务工人员有贡献无共享,这是社会考题,更是政府责任,原图,",True,2012-12-30 14:30,人民日报微博,8,360,40
",河南90后代课女老师举债办学事件,相关负责人被免职,12月29日,媒体曝出河南伊川县19岁代课女教师为三个孩子举债办学,教育部门却以学生少为由断了代课费,当晚,伊川县教育局做出回复,相关中心校校长,分管副校长等多名责任人被免职,并立即兑现本学期工资,网络新闻联播,",True,2012-12-30 13:45,人民日报微博,30,586,487
",广东异地高考方案出台,明年起分三步实施,人民日报记者贺林平消息,广东确定从2013年开始分步实施随迁子女就地升学考试,2013年起,通过积分入户广东的异地务工人员,高技能人才,其随迁子女不受入户年限,就学年限等限制,可在广东报名参加高考,并可与广东入户地户籍考生同等录取,详见长微博,原图,",True,2012-12-30 12:54,人民日报微博,5,435,424
",北京市,异地高考,方案公布,北京市公布,异地高考,方案,1,根据北京市进城务工人员管理制度确定家长资格条件,2,随迁子女升学考试办法争取2013年出台,将与,管理制度,挂钩,北京市进城务工人员管理制度尚未出台,明年起按过渡方案执行,via,新华视点,原图,",True,2012-12-30 12:17,人民日报微博,6,560,944
",两张照片,胡锦涛江苏考察,为讲解的村支书打伞,李克强走访湖北,和村民合影站在后排,同一天内,两张照片,展现高层亲民情怀,朴实作风,令人感概,细微处见精神,官民关系本应融洽如是,何时起,在一些,公仆,那里变成了高高在上,等级森严,愿身体力行换得上行下效,亲近百姓,百姓才会亲近你,原图,",True,2012-12-30 11:47,人民日报微博,121,4983,162
",网曝北京120闪顶灯逆行从餐馆回单位引争议,前日,北京网友,BG2RHY,发微博称,经常看到从海淀医院内部停车场有救护车开出到海淀东三街某餐馆就餐,之后闪着警示灯逆行返回,微博引发网友对救护车被私用的不满,北京急救中心海淀分中心管理人员表示将调查核实,您怎么看,",True,2012-12-30 10:57,人民日报微博,7,439,415
",习近平考察河北,如果能看到真贫,3个半小时的路程就值了,习近平正在河北阜平骆驼湾村考察,这里属全国连片特困区,人均年收入900多元,据,央视新闻,报道,昨晚开会时他对当地干部说,窥一斑知全豹,到这里就是要了解我国的真实贫困状态,如能看到真贫,从北京3个半小时的路程就值了,原图,",True,2012-12-30 10:04,人民日报微博,11,772,33
",北京四条地铁新线开通啦,12月30日首班车起,北京地铁6号线一期,8号线二期南段,9号线北段,10号线开通试运营,6号线,9号线最小运行间隔4分钟,8号线5分钟,10号线小圈宋家庄至车道沟,最小间隔2分30秒,大圈首经贸至西局,最小间隔5分,今天早上,北京的筒子们有没有尝鲜的,直播下感受啊,原图,",True,2012-12-30 09:46,人民日报微博,17,961,293
",习近平今晨顶风踏雪看望困难群众,元旦将至,强冷空气使北方气温骤降,30日一早,中共中央总书记习近平冒着零下十度左右的严寒,顶风踏雪前往太行山深处的河北保定阜平县龙泉关镇贫困村骆驼湾村看望困难群众,图为骆驼湾村村景和村里儿童,via,新华视点,原图,",True,2012-12-30 09:26,人民日报微博,6,388,61
",新闻史上的今天,1940年12月30日,延安新华广播电台在革命圣地延安诞生,1949年3月25日开始在北平播音,12月5日,正式定名为中央人民广播电台,从此,中央人民广播电台成为中国最重要的,最具有影响力的传媒之一,中国新闻史学会供稿,图片来自网络,原图,",True,2012-12-30 08:40,人民日报微博,9,216,144
",你好,明天,官员财产申报拟列入立法规划,异地高考改革正艰难破冰,2012年岁末,这两个消息传递改革共识,也反映改革困境,越是向前推进,触及的利益就越复杂,遭遇的阻力就越大,然而渐进不能退化为不进,贻误只会使矛盾积累,危机扩大,祸福避趋不可取,政治承诺不可弃,人民期待不可负,安,原图,",True,2012-12-29 23:56,人民日报微博,50,1769,709
",微议录,别再劳民伤财,那些钱可以救助多少因病无望的家庭,挽救多少因贫坠落的孩子,让多少游荡的无业青年获一技之长,这都是我想做的,可我没钱,感谢,周小贱没人爱,孟非,青柠不再,hello,bey,青青琳琅,cassie的快乐生活,fyf1028,花石頭e,澳洲的墨尔本,等网友对奢华运动会等话题发表评论,原图,",True,2012-12-29 23:25,人民日报微博,10,232,122
",微评论,谁来保护我们的快递,野蛮分拣,监守自盗,私卖信息,快递不快,态度恶劣,快递业管理缺乏,硬部门,监管缺乏,硬指标,处罚缺乏,硬杠杆,的矛盾日益凸显,而民众往往只能默默忍受,对此,应尽快强化监管,加大打击和处罚力度,同时建立快递公司和快递员黑名单制度,实现优胜劣汰,原图,",True,2012-12-29 22:55,人民日报微博,23,608,482
",中国从中非共和国撤侨,中国驻中非共和国大使孙海潮29日说,截至28日夜,在中非的近300名中国侨民已有200余人有序离开首都班吉,前往周边国家或回国,未来两三天内大使馆将继续安排我侨民撤离,本月10日,中非反政府武装联盟,塞雷卡,发动攻势,此后迅速占领北部,中部地区主要城镇,原图,",True,2012-12-29 22:22,人民日报微博,9,476,263
",盘点2013年1月1日起实施新法新规,明年1月1日起,中国一批新的法律法规将正式施行,驾照新规,新刑诉法,新民诉法,取消和免征30项行政事业性收费,这一系列法律法规都与咱老百姓生活密切相关,并将为我们的生活提供各种保障与便利,让我们再来熟悉一下它们吧,原图,",True,2012-12-29 21:42,人民日报微博,9,905,204
",微调查,明年节假日,你最想做啥,2013年,马上来啦,明年的节假日,你最想做的一件事是什么,想去哪里旅游,想跟异地的亲友团聚,还是有何假日充电计划,或者只是想在家陪陪亲人,打算尝试什么新计划,什么,你还有更有趣的假日生活方式,来跟大家分享下吧,点此进入调查链接",True,2012-12-29 21:32,人民日报微博,2,103,133
",叫花子教授,徐立,清贫一生的,裸捐医生,他是,叫花子教授,把钱都捐给别人自己捡馒头吃,他是,徐管宽,只要和病人有关的事他都管,他是,编外院长,退休后仍天天上班,他是已故湘雅二医院副教授徐立,25日,坟墓落成,里面只有衣服,最后遗体也捐了",True,2012-12-29 20:35,人民日报微博,111,1825,830
",关注异地高考动向,截至29日,全国有12省区异地高考方案出炉,其中山东,福建,江西三省2014年正式实施,黑龙江,安徽,新疆,重庆,河北,湖南,浙江,辽宁,吉林等九省2013年实施,门槛是3年高中学籍,其中吉林还要求父母3年以上社保,目前,上海也已基本敲定方案,北京,广东,看你们的了,原图,",True,2012-12-29 19:45,人民日报微博,10,359,302
",北京地铁小广告,无孔不入,这些年,地铁小广告在北京地铁车厢内泛滥,从夹缝,边门中插卡片,名片,发展到近日在乘客抓环中塞入广告单,可谓,见缝插针,无孔不入,有乘客向记者抱怨,怎么不管管,卡片和广告上都写着联系电话呢,这不一抓一个准,新华视点,原图,",True,2012-12-29 18:58,人民日报微博,3,146,161
",央视街头采访新年心愿,市民称狠狠地惩治贪官,央视街头采访市民新年心愿,记者提问,你明年有没有什么想实现的心愿,一位环卫工人说,得到大家的认可,还有一位市民说,切实地抓腐败,狠狠地惩治贪官,视频,",True,2012-12-29 18:10,人民日报微博,26,553,367
",环卫工人,谢谢你们,北京昨天夜里的雪并不小,可今天所经过的路还能畅通行驶,真的不容易,昨晚或今晨在我们沉醉梦乡时,有多少环卫工人在工作,刚才碰到几位正在铲雪的工人师傅,由衷地说了声,辛苦了,谢谢,居然就很开心起来,青铜之路,原图,",True,2012-12-29 17:24,人民日报微博,30,552,275
",美国,财政悬崖,谈判进入倒计时,美国总统奥巴马和国会领导人28日再次为避免,财政悬崖,举行闭门磋商,国会或将在未来三天内达成协议,在最后一刻避免,坠崖,否则,美国2013年全年经济可能,失血,6000多亿美元,不过分析普遍认为,财政悬崖,的短期冲击也可控,你了解什么是,财政悬崖,吗,原图,",True,2012-12-29 17:03,人民日报微博,2,139,81
",上海异地高考方案敲定,挂钩居住证,要求工作年限,上海异地中高考已经基本确定,持上海,居住证,A证即国内人才引进类居住证的来沪务工人员,其子女可以在沪参加中高考,持,居住证,C证即一般居住证人员的随迁子女,只能参加全日制普通中等职业学校自主招生考试,",True,2012-12-29 16:20,人民日报微博,8,462,448
",人民日报,面向网友征集,你好,明天,微评论,稿件,征集微博",True,2012-12-29 16:04,人民日报微博,5,94,55
",香港,开放体育设施,大学是主力,香港的大学体育设施基本上全年开放,开放时间公开透明,使用室外设施可直接前往,室内场地预约简单方便,开放期间,有持急救证书的场地管理和接待人员值班,学生优先使用设施,校外人士需少量付费,香港中文大学15港元使用1节时,",True,2012-12-29 15:35,人民日报微博,4,176,99
",财政部,严禁岁末年初突击花钱滥用公款,财政部日前下发了,关于切实做好岁末年初有关财政工作的通知,提出坚决制止各种乱花钱和突击花钱行为,对不符合规定的各项支出,一律不得报销和列支,严禁用公款购买香烟,高档酒和礼品,严禁用公款送礼和宴请,严禁以各种名义滥发津贴,补贴,奖金,实物,原图,",True,2012-12-29 14:47,人民日报微博,6,345,213
",印度遭轮奸女学生去世,据新华社,新加坡伊丽莎白医院29日说,印度新德里遭轮奸女大学生当日凌晨因器官衰竭不治身亡,印度总理辛格表示非常悲痛,同时呼吁民众保持冷静,采取建设性行动,本月16日,23岁的女大学生在私人巴士上惨遭轮奸和毒打,后被抛出车外,引发印度各大城市大规模示威抗议,原图,",True,2012-12-29 13:55,人民日报微博,18,578,479
",郑州,房妹,追踪,人民日报记者王汉超消息,此前媒体报道,河南郑州二七区房管局原局长翟某回应女儿名下的多套房产为经商所得,自己目前已离职,经查询,翟某女儿名下11套房产办证时间为2010年11月和12月,翟某受处分离职时间为2011年9月,买房行为发生在其任内,是否涉及职务腐败,将继续追踪,",True,2012-12-29 13:17,人民日报微博,31,909,556
",衣服肥,被窝暖,都是冬天发福的原因,你是不是也常常抱怨,一个冬天长了好几斤肥肉,腰上那圈越来越厚,长肉不好看是其次,重要的是发胖会使人抵抗力减弱,易患疾病,近日,美国CNN新闻网总结了7个让人冬天发福的原因,有衣服肥,室温低,被窝暖,你被说中了没,还有啥补充吗,生命时报,原图,",True,2012-12-29 13:00,人民日报微博,6,467,144
",公安部详解如何认定,抢黄灯,驾照新规中,究竟什么情形会被认定为,抢黄灯,扣6分,公安部交管局介绍,黄灯亮时,只要机动车车身任何一部分已经越过停止线的,车辆可以继续通行,未越过停止线的车辆不得通行,否则就是,抢黄灯,属于违法行为,谨记,抢一秒,毁一生,",True,2012-12-29 12:16,人民日报微博,16,1516,614
"转发理由,爱,让这个寒冬变得温暖,一起让爱延续,瑞红姐姐,截止到今天9,40共收到爱心款107526,66元,感恩,人民日报,感恩,扬子晚报,感恩全国各地大爱,滴水成冰的冬日,大家用爱帮我呼唤生命的冬天,淘宝,瑞红姐姐",False,2012-12-29 11:58,微博 weibo.com,6,139,24
",奢华办运动会该休矣,深圳大运会审计结果日前出笼,140亿元的投入与12亿元收入形成巨大落差,让一些网民吐槽不止,网民有些情绪化的表达背后,传递一个信号,重宣传,重面子的奢华运动会该回归理性,算算经济账和社会账了,环球时报,原图,",True,2012-12-29 11:25,人民日报微博,174,8799,1641
",出租车拒载侃价将停岗三年,北京发布,昨天,北京市交通委运输局和北京市交通执法总队联合召开针对出租车管理部署会,对出租车管理推出,史上最严,处罚措施,出租车司机出现拒载,侃价等行为,将视情况轻重停岗1至3年,列入行业,黑名单,驾驶员不得再次录用,原图,",True,2012-12-29 10:43,人民日报微博,15,891,452
",我国拟修改完善反腐败单行法律,日前,全国人大法律委员会已建议抓紧研究综合性反腐败立法问题,并将修改完善反腐败单行法律列入立法规划,反腐倡廉立法将涉及修改现有法律,制定新法,及论证建立国家公职人员财产申报有关法律,其中,企业国有资产法,行政强制法,刑事诉讼法修正案等已审议通过,原图,",True,2012-12-29 09:56,人民日报微博,7,234,124
",新闻史上的今天,1938年12月29日,林柏生代汪精卫发表致蒋介石电报式声明,表示支持对日本侵略者妥协政策,因为当天按照韵目代日规则,是,艳,字,故被称,艳电,宣告汪精卫投敌附逆,1940年,日本支持汪精卫在南京建立,伪国民政府,中国报纸纷纷声讨,中国新闻史学会供稿,图片来自网络,原图,",True,2012-12-29 09:02,人民日报微博,7,230,128
",你好,明天,离规定时限只剩3天,过半省份尚未出台异地高考方案,本地生与外地生,流出地与流入地,各方利益需平衡兼顾,但审慎不是拖延的借口,看准了的不能等,35年前邓小平力主恢复高考,点燃一代人的希望,今天,同样需要破冰的魄力和智慧,奋斗就有希望,仍应是这个时代坚守的信念,安,原图,",True,2012-12-28 23:44,人民日报微博,29,776,381
